Account,Street,Zip Code,Type,#Bedrooms,#Bathrooms,Size/SqFeet,Year Built,Zestimate Px,Projected Timeline,NPV
13817,4901 SW 146 Ave,33175,SFR,3,2,1391,1989,162357,5-1-2014,0
14184,21221 NE 13 Place,33179,SFR,2,1,1343,1956,102343,5-1-2014,64068.45
14346,12050 S W 177 Ter,33177,SFR,3,2,1682,1960,132592,5-1-2014,165590.4
14359,1419 SW 122ND AVENUE 2-18,33184,SFR,3,2,1313,1984,119161,5-1-2014,166801.5
14746,18761 SW 318 TERR,33030,SFR,3,1,1252,1994,77392,5-1-2014,133991.7
14845,6449 WEST 12TH AVENUE,33012,SFR,3,1,1131,1957,146801,5-1-2014,94636.77
14847,25 NW 64 Ave,33126,SFR,3,2,2898,1962,341849,5-1-2014,246513.9
14866,1942 NW 65th Street,33147,SFR,2,1,1356,1949,65595,5-1-2014,0
15053,728 East 42 Street,33013,SFR,2,1,1859,1957,164046,5-1-2014,183977.1
15134,17050 NW 9 PL,33169,SFR,3,2,1651,1960,134975,5-1-2014,175829.7
15135,1500 NE 140 STREET,33161,SFR,2,1,1063,1948,96689,5-1-2014,153809.7
15136,420 NW 52 AVE,33126,SFR,2,1,1088,1947,153029,5-1-2014,179793.3
15138,17860 NW 42ND CT,33055,SFR,3,2,1365,1957,117127,5-1-2014,159424.8
15143,17741 NW 37 COURT,33055,SFR,3,1,1233,1954,91441,5-1-2014,149295.6
15144,11795 SW 273 ST,33032,SFR,4,2,2563,1992,122911,5-1-2014,179022.6
15147,8515 SW 207TH TERRACE,33189,SFR,4,3,2045,1989,224022,5-1-2014,218108.1
11434B,4644-4646 NW 15th Ave.,33142,SFR,3,3,1810,1956,85221,5-1-2014,134982.6
R11431,605 Ponce de Leon Blvd.,33134,SFR,3,2,1340,2009,340568,5-1-2014,243100.8
R12327,2450 SW 11th Street,33135,SFR,2,1,1307,1939,141813,5-1-2014,173517.6
12254,615 SANTANDER AVENUE UNIT D,33134,Condo,4,3,2257,2004,609683,5-1-2014,360687.6
12276,1401 NE MIAMI GARDENS DRIVE 292,33179,Condo,2,1,921,1969,59245,5-1-2014,35828.07
14239,4872 NW 107TH PL,33178,Condo,3,2.5,1620,2000,281414,5-1-2014,241008.9
14462,5445 COLLINS AVE #B 7th,33140,Condo,1,2,730,1966,266487,5-1-2014,236935.2
14766,8002 SW 149TH AVE APT B312,33193,Condo,2,2,866,1980,67282,5-1-2014,0
15038,6292 NW 186TH STREET #104,33015,Condo,2,2,950,1988,76544,5-1-2014,138836.1
15062,3777 SW 152 PL,33185,Condo,3,2,1670,1999,176914,5-1-2014,193665.9
15064,9301 SW 92ND AVE 107,33176,Condo,1,1,670,1977,71823,5-1-2014,123642.3
15137,1900 NORTH BAYSHORE DR UNIT 4703,33132,Condo,1,1,651,2008,244695,5-1-2014,189812.4
15142,3542 W 76TH ST APT 102,33018,Condo,2,2,830,1997,87623,5-1-2014,135863.4
R13840,5085 NW 7th Street  Unit 1007,33126,Condo,1,1,685,2003,109555,5-1-2014,138175.5
R13851,1950 Brickell Ave.,33129,Condo,2,2,1000,1968,251088,5-1-2014,208639.5
13099,11685 NE 18th Dr.,33181,Condo,3,2,1478,2005,296311,5-1-2014,190473
13874,7949 SW 104 St,33156,Condo,2,2,1133,1971,130850,5-1-2014,0
13917,10630 SW 157th CT Apt 107,33196,Condo,2,1,891,1990,80140,5-1-2014,0
