Account,Street,Zip Code,Type,#Bedrooms,#Bathrooms,Size/SqFeet,Year Built,Zestimate Px,Projected Timeline,Zestimate Rental
14184,21221 NE 13 Place,33179,SFR,2,1,1343,1956,102343,8-1-2013,1500
14346,12050 S W 177 Ter,33177,SFR,3,2,1682,1960,132592,Perpetual,1504
14359,1419 SW 122ND AVENUE 2-18,33184,SFR,3,2,1313,1984,119161,Perpetual,1515
14746,18761 SW 318 TERR,33030,SFR,3,1,1252,1994,77392,Perpetual,1217
14845,6449 WEST 12TH AVENUE,33012,SFR,3,1,1131,1957,146801,11-1-2013,1651
14847,25 NW 64 Ave,33126,SFR,3,2,2898,1962,341849,Perpetual,2239
15053,728 East 42 Street,33013,SFR,2,1,1859,1957,164046,Perpetual,1671
15134,17050 NW 9 PL,33169,SFR,3,2,1651,1960,134975,Perpetual,1597
15135,1500 NE 140 STREET,33161,SFR,2,1,1063,1948,96689,Perpetual,1397
15136,420 NW 52 AVE,33126,SFR,2,1,1088,1947,153029,Perpetual,1633
15138,17860 NW 42ND CT,33055,SFR,3,2,1365,1957,117127,Perpetual,1448
15143,17741 NW 37 COURT,33055,SFR,3,1,1233,1954,91441,Perpetual,1356
15144,11795 SW 273 ST,33032,SFR,4,2,2563,1992,122911,Perpetual,1626
15147,8515 SW 207TH TERRACE,33189,SFR,4,3,2045,1989,224022,Perpetual,1981
11434B,4644-4646 NW 15th Ave.,33142,SFR,3,3,1810,1956,85221,Perpetual,1226
R11431,605 Ponce de Leon Blvd.,33134,SFR,3,2,1340,2009,340568,Perpetual,2208
R12327,2450 SW 11th Street,33135,SFR,2,1,1307,1939,141813,Perpetual,1576
12254,615 SANTANDER AVENUE UNIT D,33134,Condo,4,3,2257,2004,609683,Perpetual,3276
12276,1401 NE MIAMI GARDENS DRIVE 292,33179,Condo,2,1,921,1969,59245,6-1-2013,1181
14239,4872 NW 107TH PL,33178,Condo,3,2.5,1620,2000,281414,Perpetual,2189
14462,5445 COLLINS AVE #B 7th,33140,Condo,1,2,730,1966,266487,Perpetual,2152
15038,6292 NW 186TH STREET #104,33015,Condo,2,2,950,1988,76544,Perpetual,1261
15062,3777 SW 152 PL,33185,Condo,3,2,1670,1999,176914,Perpetual,1759
15064,9301 SW 92ND AVE 107,33176,Condo,1,1,670,1977,71823,Perpetual,1123
15137,1900 NORTH BAYSHORE DR UNIT 4703,33132,Condo,1,1,651,2008,244695,Perpetual,1724
15142,3542 W 76TH ST APT 102,33018,Condo,2,2,830,1997,87623,Perpetual,1234
R13840,5085 NW 7th Street  Unit 1007,33126,Condo,1,1,685,2003,109555,Perpetual,1255
R13851,1950 Brickell Ave.,33129,Condo,2,2,1000,1968,251088,Perpetual,1895
13099,11685 NE 18th Dr.,33181,Condo,3,2,1478,2005,296311,Perpetual,1730
